Road_No,Name of road,Total Stretch,Total Length,Start_KM,End_KM,Length,Stretch,Year,Scheme,Started Year,Completed Year,Work Type
SH-154,Peraiyur Road,Km 14/4-37/0,22.6,14.4,24,9.6,KM 14/0 - 24/0,Before 2015-16,,2015,2016,
SH-154,Peraiyur Road,Km 14/4-37/0,22.6,24,25,1,KM 24/0 - 25/0,CRIDP 2017-18,CRIDP,2017,2018,Strengthening
SH-154,Peraiyur Road,Km 14/4-37/0,22.6,25,26,1,KM 25/0 - 26/0,CRIDP 2017-18,CRIDP,2017,2018,Strengthening
SH-154,Peraiyur Road,Km 14/4-37/0,22.6,26,27,1,KM 26/0 - 27/0,Before 2015-16,,2015,2016,
SH-154,Peraiyur Road,Km 14/4-37/0,22.6,27,30,3,KM 27/0 - 30/0,CRIDP 2017-18,CRIDP,2017,2018,Strengthening
SH-154,Peraiyur Road,Km 14/4-37/0,22.6,30,34,4,KM 30/0 - 34/0,CRIDP 2015-16,CRIDP,2015,2016,Strengthening
SH-154,Peraiyur Road,Km 14/4-37/0,22.6,34,35.6,1.6,KM 34/0 - 35/6,Before 2015-16,,2015,2016,
SH-154,Peraiyur Road,Km 14/4-37/0,22.6,35.6,37,1.4,KM 35/6 - 37/0,CRIDP 2015-16,CRIDP,2015,2016,Strengthening
SH-73A,TMM-Usilampatti road,Km 12/8-26/075,13.275,12.8,15,2.2,KM 12/8 - 15/0,Before 2015-16,,2015,2016,
SH-73A,TMM-Usilampatti road,Km 12/8-26/075,13.275,15,18,3,KM 15/0 - 18/0,CRIDP 2015-16,CRIDP,2015,2016,Strengthening
SH-73A,TMM-Usilampatti road,Km 12/8-26/075,13.275,18,21,3,KM 18/0 - 21/0,SRPR 2015-16,SRPR,2015,2016,IRQP
SH-73A,TMM-Usilampatti road,Km 12/8-26/075,13.275,21,23,2,KM 21/0 - 23/0,Before 2015-16,,2015,2016,
SH-73A,TMM-Usilampatti road,Km 12/8-26/075,13.275,23,26,3,KM 23/0 - 26/0,CRIDP 2016-17,CRIDP,2016,2017,Strengthening
MDR-104,Elumalai road ,Km 0/0-12/8,12.8,0,1,1,KM 0/0 - 1/0,CRIDP 2024-25,CRIDP,2024,2025,Strengthening
MDR-104,Elumalai road ,Km 0/0-12/8,12.8,1,5,4,KM 1/0 - 5/0,CRIDP 2021-22,CRIDP,2021,2022,Strengthening
MDR-104,Elumalai road ,Km 0/0-12/8,12.8,5,7,2,KM 5/0 - 7/0,CRIDP 2020-21,CRIDP,2020,2021,Strengthening
MDR-104,Elumalai road ,Km 0/0-12/8,12.8,7,10.6,3.6,KM 7/0 - 10/6,CRIDP 2022-23,CRIDP,2022,2023,Strengthening
MDR-104,Elumalai road ,Km 0/0-12/8,12.8,10.6,11,0.4,KM 10/6 - 11/0,CRIDP 2020-21,CRIDP,2020,2021,Strengthening
MDR-104,Elumalai road ,Km 0/0-12/8,12.8,11,12.6,1.6,KM 11/0 - 12/6,SRPR 2022-23,SRPR,2022,2023,IRQP
MDR-104,Elumalai road ,Km 0/0-12/8,12.8,12.6,12.8,0.2,KM 12/6 - 12/8,SRPR 2020-21,SRPR,2020,2021,IRQP
MDR-721,Olaipatti road,Km 0/0-12/8,12.8,8.312,18.927,10.615,KM 8/312 - 18/615,CRIDP 2023-24,CRIDP,2023,2024,IRQP
MDR-613,Kokkulam- Uthappanaickanur road ,Km 0/0-29/2,29.2,0,0.2,0.2,KM 0/0 - 0/2,CRIDP 2015-16,CRIDP,2015,2016,Strengthening
MDR-613,Kokkulam- Uthappanaickanur road ,Km 0/0-29/2,29.2,0.2,2,1.8,KM 0/2 - 2/0,CRIDP 2021-22,CRIDP,2021,2022,IRQP
MDR-613,Kokkulam- Uthappanaickanur road ,Km 0/0-29/2,29.2,2,3.8,1.8,KM 2/0 - 7/6,CRIDP 2018-19,CRIDP,2018,2019,Strengthening
